Vagococcus_lutrae	V. lutrae
Bifidobacterium_asteroides	Bif. asteroides
Pseudarthrobacter_phenanthrenivorans	P. phenanthrenivorans
Streptococcus_pyogenes	S. pyogenes
Nocardioides_szechwanensis	N. szechwanensis
Actinomyces_meyeri	A. meyeri
Pseudomonas_lundensis	P. lundensis
Kocuria_polaris	K. polaris
Clostridium_citroniae	C. citroniae
Chryseobacterium_bovis	Chr. bovis
Bavariicoccus_seileri	B. seileri
Facklamia_ignava	F. ignava
Ornithinimicrobium_pekingense	O. pekingense
Leptotrichia_sp_oral_taxon_225	Lep. sp. oral-taxon-225
Leptotrichia_wadei	L. wadei
Collinsella_aerofaciens	C. aerofaciens
Abiotrophia_defectiva	A. defectiva
Fusobacterium_periodonticum	Fus. periodonticum
Bifidobacterium_pseudolongum	Bif. pseudolongum
Avibacterium_paragallinarum	Avi. paragallinarum
Microbacterium_chocolatum	Mic. chocolatum
Thermus_thermophilus	T. thermophilus
Corynebacterium_otitidis	Cor. otitidis
Ochrobactrum_pseudogrignonense	O. pseudogrignonense
Porphyromonas_sp_COT_239_OH1446	Por. sp. COT-239-OH1446
Tatumella_ptyseos	T. ptyseos
Staphylococcus_warneri	S. warneri
Pseudomonas_kunmingensis	P. kunmingensis
Shewanella_baltica	S. baltica
Acinetobacter_haemolyticus	A. haemolyticus
Corynebacterium_argentoratense	Cor. argentoratense
Staphylococcus_arlettae	S. arlettae
Clostridium_tyrobutyricum	C. tyrobutyricum
Butyribacterium_methylotrophicum	But. methylotrophicum
Flavobacterium_sp_FEMGT703F	Fla. sp. FEMGT703F
Microbacterium_sp_CSI_V	Mic. sp. CSI-V
Clostridium_disporicum	C. disporicum
Propionibacterium_freudenreichii	Pro. freudenreichii
Staphylococcus_auricularis	S. auricularis
Lactobacillus_pentosus	L. pentosus
Roseomonas_mucosa	R. mucosa
Pseudomonas_yamanorum	P. yamanorum
Streptococcus_mutans	S. mutans
Clostridium_saccharobutylicum	C. saccharobutylicum
Kocuria_rhizophila	K. rhizophila
Victivallis_vadensis	V. vadensis
Firmicutes_bacterium_CAG_170	Fir. bacterium CAG-170
Treponema_berlinense	T. berlinense
Arthrobacter_agilis	A. agilis
Deinococcus_radiodurans	D. radiodurans
Tyzzerella_nexilis	T. nexilis
Patulibacter_medicamentivorans	P. medicamentivorans
Janthinobacterium_sp_AD80	Jan. sp. AD80
Paenibacillus_lactis	Paenibacillus_lactis
Selenomonas_noxia	S. noxia
Clostridium_sp_7_2_43FAA	Clo. sp. 7-2-43FAA
Oscillatoria_nigro_viridis	O. nigro viridis
Globicatella_sulfidifaciens	G. sulfidifaciens
Janthinobacterium_lividum	Jan. lividum
Cardiobacterium_hominis	Car. hominis
Propionibacterium_acidifaciens	Pro. acidifaciens
Paraburkholderia_tropica	P. tropica
Fusobacterium_gonidiaformans	Fus. gonidiaformans
Alcaligenes_aquatilis	A. aquatilis
Cronobacter_malonaticus	C. malonaticus
Enterococcus_canis	E. canis
Moraxella_canis	M. canis
Sphingobacterium_lactis	Sph. lactis
Acidaminococcus_sp_CAG_542	Aci. sp. CAG-542
Bifidobacterium_minimum	Bif. minimum
Clostridium_scindens	C. scindens
Paenibacillus_amylolyticus	P. amylolyticus
Chryseobacterium_vrystaatense	Chr. vrystaatense
Pseudomonas_sp_TTU2014_080ASC	Pse. sp. TTU2014-080ASC
Deinococcus_geothermalis	D. geothermalis
Raoultella_terrigena	R. terrigena
Ruminococcus_lactaris	R. lactaris
Gordonia_otitidis	G. otitidis
Rhodococcus_kroppenstedtii	R. kroppenstedtii
Bacteroides_sp_43_108	Bac. sp. 43-108
Eubacterium_sp_68_3_10	Eub. sp. 68-3-10
Megasphaera_hexanoica	M. hexanoica
Corynebacterium_stationis	Cor. stationis
Actinomyces_sp_oral_taxon_180	Act. sp. oral-taxon-180
Serratia_proteamaculans	S. proteamaculans
Bacteroides_cellulosilyticus	B. cellulosilyticus
Laribacter_hongkongensis	L. hongkongensis
Clostridium_sp_chh4_2	Clo. sp. chh4-2
Rheinheimera_sp_EpRS3	Rhe. sp. EpRS3
Methanobrevibacter_arboriphilus	M. arboriphilus
Bacteroides_galacturonicus	B. galacturonicus
Butyrivibrio_sp_CAG_318	But. sp. CAG-318
Brevundimonas_naejangsanensis	B. naejangsanensis
Lactobacillus_amylovorus	L. amylovorus
Geobacillus_stearothermophilus	G. stearothermophilus
Dietzia_cinnamea	D. cinnamea
Porphyromonas_sp_oral_taxon_278	Por. sp. oral-taxon-278
Actinobaculum_sp_oral_taxon_183	Act. sp. oral-taxon-183
Dysgonomonas_gadei	D. gadei
Brevibacterium_casei	Bre. casei
Bifidobacterium_pullorum	Bif. pullorum
Flavobacterium_lindanitolerans	Fla. lindanitolerans
Weissella_hellenica	W. hellenica
Corynebacterium_sp_HMSC08A12	Cor. sp. HMSC08A12
Chryseobacterium_joostei	Chr. joostei
Gordonia_lacunae	G. lacunae
Prevotella_pallens	P. pallens
Pseudomonas_hunanensis	P. hunanensis
Exiguobacterium_indicum	Exi. indicum
Frischella_perrara	F. perrara
Tepidiphilus_thermophilus	Tepidiphilus_thermophilus
Desulfovibrio_sp_MES5	Des. sp. MES5
Staphylococcus_sp_NAM3COL9	Sta. sp. NAM3COL9
Streptococcus_anginosus_group	S. anginosus group
Prevotella_sp_CAG_1124	Pre. sp. CAG-1124
Fusobacterium_naviforme	Fus. naviforme
Actinomyces_sp_S6_Spd3	Act. sp. S6-Spd3
Anaerococcus_vaginalis	A. vaginalis
Aggregatibacter_segnis	A. segnis
Pantoea_agglomerans	P. agglomerans
Glutamicibacter_soli	G. soli
Ruminococcus_sp_CAG_563	Rum. sp. CAG-563
Firmicutes_bacterium_CAG_145	Fir. bacterium CAG-145
Streptococcus_australis	S. australis
Odoribacter_splanchnicus	O. splanchnicus
Psychrobacter_sp_1501_2011	Psy. sp. 1501-2011
Haemophilus_paraphrohaemolyticus	H. paraphrohaemolyticus
Oscillibacter_sp_57_20	Osc. sp. 57-20
Schwartzia_succinivorans	S. succinivorans
Pectobacterium_parmentieri	Pec. parmentieri
Mycolicibacterium_conceptionense	Myc. conceptionense
Dielma_fastidiosa	D. fastidiosa
Dysgonomonas_mossii	D. mossii
Mycobacterium_sp_Root265	Myc. sp. Root265
Gemmiger_formicilis	G. formicilis
Leptotrichia_sp_oral_taxon_879	Lep. sp. oral-taxon-879
Veillonella_sp_CAG_933	Vei. sp. CAG-933
Campylobacter_coli	C. coli
Prevotella_maculosa	P. maculosa
Aeriscardovia_aeriphila	A. aeriphila
Bifidobacterium_indicum	Bif. indicum
Streptococcus_sp_HMSC070B10	Str. sp. HMSC070B10
Prevotella_veroralis	P. veroralis
Streptococcus_sp_M334	Str. sp. M334
Achromobacter_xylosoxidans	A. xylosoxidans
Microbacterium_sp_Root553	Mic. sp. Root553
Streptococcus_vestibularis	S. vestibularis
Cellulosimicrobium_cellulans	C. cellulans
Salinicoccus_qingdaonensis	S. qingdaonensis
Wohlfahrtiimonas_chitiniclastica	W. chitiniclastica
Campylobacter_jejuni	C. jejuni
Sporosarcina_globispora	S. globispora
Eubacterium_saphenum	Eub. saphenum
Psychrobacter_cryohalolentis	P. cryohalolentis
Mycoplasma_hyorhinis	M. hyorhinis
Microbacterium_laevaniformans	Mic. laevaniformans
Alkanindiges_sp_H1	Alk. sp. H1
Bacteroides_sp_CAG_661	Bac. sp. CAG-661
Paracoccus_yeei	P. yeei
Peptoniphilus_sp_oral_taxon_386	Pep. sp. oral-taxon-386
Mediterranea_sp_An20	Med. sp. An20
Hydrogenibacillus_schlegelii	H. schlegelii
Bacteroides_sp_CAG_443	Bac. sp. CAG-443
Bacteroides_faecichinchillae	B. faecichinchillae
Chryseobacterium_taklimakanense	Chr. taklimakanense
Psychrobacter_pasteurii	P. pasteurii
Campylobacter_rectus	C. rectus
Eubacterium_brachy	Eub. brachy
Methanosphaera_sp_SHI1033	Met. sp. SHI1033
Kocuria_palustris	K. palustris
Porphyromonas_macacae	P. macacae
Veillonella_dispar	V. dispar
Weissella_paramesenteroides	W. paramesenteroides
Lactobacillus_zymae	L. zymae
Agrococcus_pavilionensis	A. pavilionensis
Actinomyces_georgiae	A. georgiae
Erysipelatoclostridium_ramosum	E. ramosum
Bacillus_butanolivorans	B. butanolivorans
Acidovorax_caeni	A. caeni
Lactobacillus_parakefiri	L. parakefiri
Faecalibaculum_rodentium	F. rodentium
Gardnerella_vaginalis	G. vaginalis
Gordonia_aichiensis	G. aichiensis
Pseudomonas_versuta	P. versuta
Mycobacteroides_chelonae	M. chelonae
Agreia_sp_VKM_Ac_1783	Agr. sp. VKM-Ac-1783
Pyramidobacter_sp_C12_8	Pyr. sp. C12-8
Enterococcus_saccharolyticus	E. saccharolyticus
Halomonas_boliviensis	H. boliviensis
Cryobacterium_arcticum	Cry. arcticum
Salinicola_sp_MIT1003	Sal. sp. MIT1003
Vibrio_cholerae	V. cholerae
Sanguibacter_sp_Leaf3	San. sp. Leaf3
Corynebacterium_sp_BCW_4722	Cor. sp. BCW-4722
Bacteroides_sp_CAG_462	Bac. sp. CAG-462
Bradyrhizobium_sp_Leaf396	Bra. sp. Leaf396
Campylobacter_curvus	C. curvus
Bacillus_sp_FJAT_27916	Bac. sp. FJAT-27916
Streptococcus_sp_HMSC071D03	Str. sp. HMSC071D03
Lactobacillus_crispatus	L. crispatus
Agathobaculum_butyriciproducens	A. butyriciproducens
Mycoplasma_cynos	M. cynos
Brevibacillus_formosus	B. formosus
Helicobacter_sp_11_8110	Hel. sp. 11-8110
Veillonella_denticariosi	V. denticariosi
Bacillus_halodurans	B. halodurans
Treponema_succinifaciens	T. succinifaciens
Clostridium_innocuum	C. innocuum
Acidovorax_sp_KKS102	Aci. sp. KKS102
Sphingomonas_sp_Leaf20	Sph. sp. Leaf20
Clostridium_sp_CAG_58	Clo. sp. CAG-58
Lactobacillus_dextrinicus	L. dextrinicus
Pasteurella_multocida	P. multocida
Porphyromonas_uenonis	P. uenonis
Clostridium_sp_CAG_590	Clo. sp. CAG-590
Actinomyces_sp_oral_taxon_414	Act. sp. oral-taxon-414
Lachnoanaerobaculum_umeaense	L. umeaense
Pseudomonas_fragi	P. fragi
Brevundimonas_sp_DS20	Bre. sp. DS20
Aliivibrio_logei	A. logei
Faecalicatena_orotica	F. orotica
Pantoea_vagans	P. vagans
Proteus_vulgaris	P. vulgaris
Psychrobacter_pacificensis	P. pacificensis
Bifidobacterium_pseudocatenulatum	Bif. pseudocatenulatum
Haemophilus_pittmaniae	H. pittmaniae
Anoxybacillus_flavithermus	A. flavithermus
Kocuria_marina	K. marina
Peptostreptococcaceae_bacterium_oral_taxon_113	Pep. bacterium oral-taxon-113
Corynebacterium_variabile	Cor. variabile
Lactococcus_piscium	L. piscium
Dickeya_fangzhongdai	D. fangzhongdai
Kluyvera_intestini	K. intestini
Streptococcus_milleri	S. milleri
Lactobacillus_plantarum	Lactobacillus_plantarum
Roseomonas_gilardii	R. gilardii
Bacteroides_zoogleoformans	B. zoogleoformans
Pseudomonas_lurida	P. lurida
Brevibacterium_linens	Bre. linens
Gemmiger_sp_An50	Gem. sp. An50
Anaerostipes_sp_992a	Ana. sp. 992a
Variovorax_paradoxus	V. paradoxus
Methyloversatilis_sp_RAC08	Met. sp. RAC08
Streptococcus_hongkongensis	S. hongkongensis
Bacteroides_sp_OM08_11	Bac. sp. OM08-11
Acinetobacter_sp_TGL_Y2	Aci. sp. TGL-Y2
Catenibacterium_mitsuokai	Cat. mitsuokai
Sporosarcina_newyorkensis	S. newyorkensis
Acidipropionibacterium_acidipropionici	Aci. acidipropionici
Klebsiella_michiganensis	K. michiganensis
Eubacterium_sp_CAG_251	Eub. sp. CAG-251
Sphingomonas_paucimobilis	S. paucimobilis
Bacteroides_sp_CAG_530	Bac. sp. CAG-530
Firmicutes_bacterium_CAG_83	Fir. bacterium CAG-83
Ochrobactrum_pituitosum	O. pituitosum
Firmicutes_bacterium_CAG_238	Fir. bacterium CAG-238
Bacteroides_sartorii	B. sartorii
Duganella_phyllosphaerae	D. phyllosphaerae
Facklamia_hominis	F. hominis
Mycolicibacterium_rhodesiae	Myc. rhodesiae
Bacteroides_xylanisolvens	B. xylanisolvens
Delftia_lacustris	D. lacustris
Spiroplasma_eriocheiris	S. eriocheiris
Dysgonomonas_sp_37_18	Dys. sp. 37-18
Fusobacterium_equinum	Fus. equinum
Abiotrophia_sp_HMSC24B09	Abi. sp. HMSC24B09
Shewanella_oneidensis	S. oneidensis
Haemophilus_sputorum	H. sputorum
Rheinheimera_sp_KL1	Rhe. sp. KL1
Sphingopyxis_alaskensis	S. alaskensis
Lactobacillus_brevis	L. brevis
Leclercia_adecarboxylata	L. adecarboxylata
Skermanella_aerolata	S. aerolata
Mogibacterium_timidum	Mog. timidum
Kocuria_kristinae	K. kristinae
Prevotella_sp_oral_taxon_299	Pre. sp. oral-taxon-299
Psychrobacter_piscatorii	P. piscatorii
Mycolicibacterium_rufum	Myc. rufum
Stenotrophomonas_acidaminiphila	S. acidaminiphila
Sphingomonas_koreensis	Sphingomonas_koreensis
Mycobacterium_syngnathidarum	Myc. syngnathidarum
Phytobacter_ursingii	P. ursingii
Halomonas_hydrothermalis	H. hydrothermalis
Rothia_dentocariosa	R. dentocariosa
Catellicoccus_marimammalium	C. marimammalium
Candidatus_Gastranaerophilales_bacterium_HUM_9	Can. Gastranaerophilales bacterium-HUM-9
Bacteroides_thetaiotaomicron	B. thetaiotaomicron
Paenibacillus_glucanolyticus	P. glucanolyticus
Acinetobacter_soli	A. soli
Tsukamurella_pulmonis	T. pulmonis
Brevibacterium_mcbrellneri	Bre. mcbrellneri
Enterococcus_columbae	E. columbae
Slackia_exigua	S. exigua
Campylobacter_mucosalis	C. mucosalis
Corynebacterium_durum	Cor. durum
Corynebacterium_sp_HMSC078H07	Cor. sp. HMSC078H07
Lactobacillus_rapi	L. rapi
Deinococcus_swuensis	D. swuensis
Parabacteroides_sp_CAG_409	Par. sp. CAG-409
Janibacter_sp_HTCC2649	Jan. sp. HTCC2649
Comamonas_sp_JNW	Com. sp. JNW
Neisseria_cinerea	N. cinerea
Shewanella_algae	S. algae
Chryseobacterium_sp_YLOS41	Chr. sp. YLOS41
Rodentibacter_heylii	R. heylii
Pantoea_allii	P. allii
Eubacterium_ventriosum	Eub. ventriosum
Eikenella_sp_NML130454	Eik. sp. NML130454
Clostridium_bornimense	C. bornimense
Serratia_liquefaciens	S. liquefaciens
Aeromonas_caviae	A. caviae
Acinetobacter_lwoffii	A. lwoffii
Bacillus_aryabhattai	B. aryabhattai
Gemmiger_sp_An87	Gem. sp. An87
Kosakonia_pseudosacchari	K. pseudosacchari
Bifidobacterium_dentium	Bif. dentium
Duganella_sp_Leaf126	Dug. sp. Leaf126
Clostridium_thermobutyricum	C. thermobutyricum
Sphingomonas_sp_Ag1	Sph. sp. Ag1
Collinsella_massiliensis	C. massiliensis
Kingella_negevensis	K. negevensis
Olsenella_uli	O. uli
Dialister_pneumosintes	D. pneumosintes
Bacteroides_fluxus	B. fluxus
Lactobacillus_satsumensis	L. satsumensis
Exiguobacterium_acetylicum	Exi. acetylicum
Leuconostoc_citreum	L. citreum
Bacteroides_sp_D2	Bac. sp. D2
Staphylococcus_vitulinus	S. vitulinus
Melaminivora_sp_SC2_9	Mel. sp. SC2-9
Luteipulveratus_halotolerans	L. halotolerans
Prevotella_loescheii	P. loescheii
Clostridium_leptum	C. leptum
Bifidobacterium_stellenboschense	Bif. stellenboschense
Sphingobium_yanoikuyae	S. yanoikuyae
Fusobacterium_varium	Fus. varium
Phascolarctobacterium_sp	Pha. sp
Citrobacter_farmeri	C. farmeri
Rhodanobacter_glycinis	R. glycinis
Prevotella_sp_CAG_1320	Pre. sp. CAG-1320
Aerococcus_urinaeequi	A. urinaeequi
Anaeroglobus_geminatus	A. geminatus
Lactobacillus_kalixensis	L. kalixensis
Citrobacter_koseri	C. koseri
Cruoricaptor_ignavus	C. ignavus
Simonsiella_muelleri	S. muelleri
Phascolarctobacterium_faecium	Pha. faecium
Arcobacter_butzleri	A. butzleri
Bacillus_thermoamylovorans	B. thermoamylovorans
Eubacterium_dolichum_CAG_375	Eub. dolichum CAG-375
Selenomonas_sp_oral_taxon_920	Sel. sp. oral-taxon-920
Terrisporobacter_othiniensis	T. othiniensis
Flavobacterium_aquidurense	Fla. aquidurense
Neisseria_bacilliformis	N. bacilliformis
Propionibacterium_sp_oral_taxon_192	Pro. sp. oral-taxon-192
Starkeya_novella	S. novella
Porphyromonas_cangingivalis	P. cangingivalis
Erwinia_gerundensis	E. gerundensis
Acidocella_sp_MX_AZ02	Aci. sp. MX-AZ02
Kocuria_indica	K. indica
Aggregatibacter_aphrophilus	A. aphrophilus
Serratia_sp_Leaf51	Ser. sp. Leaf51
Streptococcus_macedonicus	S. macedonicus
Mesorhizobium_sp_UASWS1009	Mes. sp. UASWS1009
Peptoniphilus_sp_HMSC062D09	Pep. sp. HMSC062D09
Pseudomonas_alcaliphila	P. alcaliphila
Nesterenkonia_jeotgali	N. jeotgali
Parabacteroides_distasonis	P. distasonis
Clostridium_sp_CAG_678	Clo. sp. CAG-678
Oenococcus_oeni	O. oeni
Burkholderia_cenocepacia	B. cenocepacia
Paracoccus_pantotrophus	P. pantotrophus
Eubacterium_eligens	Eub. eligens
Lactobacillus_helsingborgensis	L. helsingborgensis
Roseburia_sp_CAG_182	Ros. sp. CAG-182
Moraxella_sp_VT_16_12	Mor. sp. VT-16-12
Fretibacterium_fastidiosum	Fre. fastidiosum
Veillonella_parvula	V. parvula
Corynebacterium_sp_HMSC29G08	Cor. sp. HMSC29G08
Enterococcus_devriesei	E. devriesei
Megasphaera_elsdenii	M. elsdenii
Eikenella_corrodens	E. corrodens
Coprothermobacter_proteolyticus	C. proteolyticus
Pediococcus_parvulus	P. parvulus
Parasutterella_excrementihominis	P. excrementihominis
Acinetobacter_seifertii	A. seifertii
Clostridium_clostridioforme	C. clostridioforme
Jeotgalicoccus_halotolerans	J. halotolerans
Hafnia_paralvei	H. paralvei
Capnocytophaga_sp_oral_taxon_878	Cap. sp. oral-taxon-878
Bacteroides_faecis	B. faecis
Fusobacterium_sp_CAG_439	Fus. sp. CAG-439
Enterorhabdus_caecimuris	E. caecimuris
Pediococcus_inopinatus	P. inopinatus
Nannocystis_exedens	N. exedens
Pseudomonas_sp_Choline_02u_1	Pse. sp. Choline-02u-1
Chryseobacterium_indoltheticum	Chr. indoltheticum
Serratia_ureilytica	S. ureilytica
Neisseria_mucosa	N. mucosa
Brevibacillus_choshinensis	B. choshinensis
Akkermansia_glycaniphila	A. glycaniphila
Ralstonia_insidiosa	R. insidiosa
Candidatus_Methanomethylophilus_sp_1R26	Can. sp. 1R26
Ruminococcus_sp_CAG_403	Rum. sp. CAG-403
Rhodobacter_sphaeroides	R. sphaeroides
Bacillus_aerius	B. aerius
Bacteroides_vulgatus	B. vulgatus
Corynebacterium_doosanense	Cor. doosanense
Acinetobacter_beijerinckii	A. beijerinckii
Paludisphaera_borealis	P. borealis
Bifidobacterium_saeculare	Bif. saeculare
Lactobacillus_kisonensis	L. kisonensis
Leuconostoc_lactis	Leuconostoc_lactis
Rubellimicrobium_mesophilum	R. mesophilum
Dietzia_natronolimnaea	D. natronolimnaea
Corynebacterium_flavescens	Cor. flavescens
Corynebacterium_efficiens	Cor. efficiens
Streptococcus_sp_HMSC067H01	Str. sp. HMSC067H01
Streptococcus_sp_HPH0090	Str. sp. HPH0090
Roseburia_intestinalis	R. intestinalis
Catabacter_hongkongensis	C. hongkongensis
Prevotella_sp_oral_taxon_820	Pre. sp. oral-taxon-820
Actinomyces_cardiffensis	A. cardiffensis
Carnobacterium_maltaromaticum	Car. maltaromaticum
Cardiobacterium_valvarum	Car. valvarum
Immundisolibacter_cernigliae	I. cernigliae
Pseudomonas_graminis	P. graminis
Chelatococcus_daeguensis	C. daeguensis
Enterobacter_sp_RIT_418	Ent. sp. RIT-418
Scardovia_wiggsiae	S. wiggsiae
Sellimonas_intestinalis	S. intestinalis
Prevotella_dentalis	P. dentalis
Clostridium_sp_CAG_242	Clo. sp. CAG-242
Corynebacterium_glyciniphilum	Cor. glyciniphilum
Corynebacterium_oculi	Cor. oculi
Pseudomonas_helleri	P. helleri
Lactobacillus_delbrueckii	L. delbrueckii
Dolosicoccus_paucivorans	D. paucivorans
Anaerobiospirillum_thomasii	A. thomasii
Peptococcus_niger	P. niger
Pseudomonas_paralactis	P. paralactis
Devosia_riboflavina	D. riboflavina
Bifidobacterium_gallicum	Bif. gallicum
Bifidobacterium_breve	Bif. breve
Gordonia_paraffinivorans	G. paraffinivorans
Barnesiella_viscericola	B. viscericola
Janibacter_indicus	J. indicus
Kluyvera_ascorbata	K. ascorbata
Lactobacillus_curvatus	L. curvatus
Mycoplasma_bovis	M. bovis
Cloacibacillus_porcorum	C. porcorum
Sphingobacterium_cellulitidis	Sph. cellulitidis
Robinsoniella_sp_RHS	Rob. sp. RHS
Corynebacterium_falsenii	Cor. falsenii
Catonella_morbi	C. morbi
Pseudomonas_sp_HAR_UPW_AIA_41	Pse. sp. HAR-UPW-AIA-41
Ruminococcus_sp_CAG_488	Rum. sp. CAG-488
Veillonella_infantium	V. infantium
Streptococcus_sp_F0442	Str. sp. F0442
Lactobacillus_versmoldensis	L. versmoldensis
Kingella_denitrificans	K. denitrificans
Haemophilus_aegyptius	H. aegyptius
Prevotella_sp_AM42_24	Pre. sp. AM42-24
Bacillus_gobiensis	B. gobiensis
Methanosphaera_stadtmanae	M. stadtmanae
Asaccharobacter_celatus	A. celatus
Janthinobacterium_sp_64	Jan. sp. 64
Bifidobacterium_mongoliense	Bif. mongoliense
Alistipes_indistinctus	A. indistinctus
Fusobacterium_mortiferum	Fus. mortiferum
Eubacterium_sp_OM08_24	Eub. sp. OM08-24
Blastococcus_sp_DSM_44205	Bla. sp. DSM-44205
Hydrocarboniphaga_effusa	H. effusa
Rhodococcus_erythropolis	R. erythropolis
Hungatella_effluvii	H. effluvii
Corynebacterium_pseudodiphtheriticum	Cor. pseudodiphtheriticum
Lachnoclostridium_sp_An14	Lac. sp. An14
Weeksella_virosa	W. virosa
Citrobacter_amalonaticus	C. amalonaticus
Photobacterium_damselae	Pho. damselae
Elizabethkingia_anophelis	E. anophelis
Treponema_medium	T. medium
Brevibacterium_aurantiacum	Bre. aurantiacum
Actinomyces_sp_oral_taxon_448	Act. sp. oral-taxon-448
Pediococcus_damnosus	P. damnosus
Micrococcus_luteus	M. luteus
Lactococcus_garvieae	L. garvieae
Staphylococcus_haemolyticus	S. haemolyticus
Actinomyces_turicensis	A. turicensis
Gordonia_soli	Gordonia_soli
Prevotella_oulorum	P. oulorum
Actinomyces_denticolens	A. denticolens
Haematobacter_missouriensis	H. missouriensis
Acetomicrobium_flavidum	A. flavidum
Clostridiales_bacterium_1_7_47FAA	Clo. bacterium 1-7-47FAA
Lysobacter_soli	L. soli
Klebsiella_aerogenes	K. aerogenes
Pediococcus_argentinicus	P. argentinicus
Nocardiopsis_alba	N. alba
Lactobacillus_kefiranofaciens	L. kefiranofaciens
Lactobacillus_perolens	L. perolens
Pseudomonas_aeruginosa_group	P. aeruginosa group
Campylobacter_gracilis	C. gracilis
Nocardioides_exalbidus	N. exalbidus
Treponema_porcinum	T. porcinum
Sporosarcina_sp_HYO08	Spo. sp. HYO08
Selenomonas_sputigena	S. sputigena
Pediococcus_sp	P. sp
Mycolicibacterium_doricum	Myc. doricum
Actinomyces_sp_HPA0247	Act. sp. HPA0247
Microbacterium_sp_SZ1	Mic. sp. SZ1
Porphyromonas_circumdentaria	P. circumdentaria
Corynebacterium_mastitidis	Cor. mastitidis
Campylobacter_fetus	C. fetus
Kurthia_sp_11kri321	Kur. sp. 11kri321
Streptococcus_downei	S. downei
Tersicoccus_sp_Bi_70	Ter. sp. Bi-70
Capnocytophaga_granulosa	C. granulosa
Pseudomonas_simiae	P. simiae
Veillonella_tobetsuensis	V. tobetsuensis
Planifilum_fulgidum	P. fulgidum
Clavibacter_michiganensis	C. michiganensis
Delftia_acidovorans	D. acidovorans
Atopobium_minutum	A. minutum
Bradyrhizobium_lablabi	B. lablabi
Aeromonas_hydrophila	A. hydrophila
Bacteroides_finegoldii	B. finegoldii
Corynebacterium_sp_NML140438	Cor. sp. NML140438
Bosea_vaviloviae	B. vaviloviae
Kerstersia_gyiorum	K. gyiorum
Bifidobacterium_aquikefiri	Bif. aquikefiri
Sphingobacterium_faecium	Sph. faecium
Desulfomicrobium_orale	D. orale
Sphingopyxis_terrae	S. terrae
Chryseobacterium_gambrini	Chr. gambrini
Neisseria_macacae	N. macacae
Leuconostoc_carnosum	L. carnosum
Caulobacter_sp_FWC26	Cau. sp. FWC26
Tychonema_bourrellyi	T. bourrellyi
Pseudoalteromonas_tetraodonis	P. tetraodonis
Treponema_lecithinolyticum	T. lecithinolyticum
Providencia_rustigianii	P. rustigianii
Lysobacter_tolerans	L. tolerans
Pseudomonas_soli	P. soli
Akkermansia_muciniphila	A. muciniphila
Dialister_invisus	D. invisus
Corynebacterium_atypicum	Cor. atypicum
Enterococcus_italicus	E. italicus
Propionibacteriaceae_bacterium_NML_130396	Pro. bacterium NML-130396
Neisseria_shayeganii	N. shayeganii
Clostridium_sporogenes	C. sporogenes
Bacteroidales_bacterium_KA00344	Bac. bacterium KA00344
Calidifontibacter_indicus	C. indicus
Lactobacillus_paralimentarius	L. paralimentarius
Carnobacterium_inhibens	Car. inhibens
Herbaspirillum_sp	H. sp
Lactobacillus_helveticus	L. helveticus
Marmoricola_sp_Leaf446	Mar. sp. Leaf446
Janibacter_terrae	J. terrae
Azorhizobium_caulinodans	A. caulinodans
Bordetella_trematum	B. trematum
Mycolicibacterium_obuense	Myc. obuense
Treponema_socranskii	T. socranskii
Butyricimonas_virosa	B. virosa
Lactococcus_chungangensis	L. chungangensis
Bacteroidetes_bacterium_oral_taxon_272	Bac. bacterium oral-taxon-272
Prevotella_fusca	P. fusca
Centipeda_periodontii	C. periodontii
Arcobacter_cryaerophilus	A. cryaerophilus
Staphylococcus_aureus	S. aureus
Anaerofustis_stercorihominis	A. stercorihominis
Escherichia_albertii	E. albertii
Staphylococcus_cohnii	S. cohnii
Bifidobacterium_catenulatum	Bif. catenulatum
Gluconobacter_japonicus	G. japonicus
Anaerosporobacter_mobilis	A. mobilis
Corynebacterium_singulare	Cor. singulare
Clostridium_lavalense	C. lavalense
Pseudomonas_sp_2822_17	Pse. sp. 2822-17
Lactobacillus_ingluviei	L. ingluviei
Bacteroides_coprocola	B. coprocola
Glutamicibacter_mysorens	G. mysorens
Carnobacterium_divergens	Car. divergens
Perlucidibaca_sp_HR_E	Per. sp. HR-E
Enterobacter_sp_10_1	Ent. sp. 10-1
Citrobacter_sp_50677481	Cit. sp. 50677481
Methylorubrum_populi	M. populi
Escherichia_fergusonii	E. fergusonii
Romboutsia_hominis	R. hominis
Megamonas_rupellensis	M. rupellensis
Capnocytophaga_sputigena	C. sputigena
Methanobrevibacter_sp_AbM4	Met. sp. AbM4
Oribacterium_sinus	Ori. sinus
Bordetella_parapertussis	B. parapertussis
Microbacterium_aurum	Mic. aurum
Peptoniphilus_coxii	P. coxii
Corynebacterium_imitans	Cor. imitans
Superficieibacter_electus	S. electus
Flavonifractor_sp_An100	Fla. sp. An100
Acinetobacter_parvus	A. parvus
Streptococcus_sanguinis	S. sanguinis
Porphyromonas_crevioricanis	P. crevioricanis
Mycolicibacterium_peregrinum	Myc. peregrinum
Virgibacillus_pantothenticus	V. pantothenticus
Acidaminococcus_intestini	A. intestini
Clostridium_sartagoforme	C. sartagoforme
Dermacoccus_sp_PE3	Der. sp. PE3
Nocardiopsis_dassonvillei	N. dassonvillei
Pseudopropionibacterium_propionicum	Pse. propionicum
